City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Saint George,US,76.42,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
9,Kavieng,PG,81.61,light rain,-2.5744,150.7967,Nusa Island Retreat
10,Hambantota,LK,78.33,scattered clouds,6.1241,81.1185,Bungalow 63
12,Rikitea,PF,76.75,broken clouds,-23.1203,-134.9692,People ThankYou
14,Hilo,US,76.73,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
15,Mana,GF,78.46,scattered clouds,5.6592,-53.7767,LE SAMANA
16,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
17,Half Moon Bay,US,78.89,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
19,Puerto Ayora,EC,85.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
23,Wad Madani,SD,95.02,overcast clouds,14.4012,33.5199,فندق يوغسلافيا
26,Vaini,TO,75.36,thunderstorm,-21.2,-175.2,Keleti Beach Resort
31,Arraial Do Cabo,BR,80.56,few clouds,-22.9661,-42.0278,Pousada Porto Praia
32,Bambous Virieux,MU,79.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
34,Butaritari,KI,81.66,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
39,Awbari,LY,77.81,clear sky,26.5921,12.7805,فندق أوباري
40,Havelock,US,75.18,clear sky,34.8791,-76.9013,Sherwood Motel
43,Honiara,SB,80.1,overcast clouds,-9.4333,159.95,Heritage Park Hotel
44,Pitimbu,BR,77.59,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
46,Grand Gaube,MU,79.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
50,Salinopolis,BR,80.26,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
55,Trincomalee,LK,80.33,clear sky,8.5711,81.2335,Welcombe Hotel
57,Georgetown,MY,76.95,few clouds,5.4112,100.3354,Cititel Penang
67,Touros,BR,77.97,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
70,Atuona,PF,79.99,broken clouds,-9.8,-139.0333,Villa Enata
74,Kapaa,US,78.78,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
76,Guanica,PR,82.13,few clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
81,Fare,PF,81.81,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
96,Souillac,MU,79.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
101,Mazagao,BR,78.85,moderate rain,-0.115,-51.2894,Recanto dos Ferreiras
107,Road Town,VG,82.49,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
108,San Patricio,US,88.16,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
