City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,62.456,-114.3525,22.41,62,75,17.27,broken clouds
1,Westport,US,41.1415,-73.3579,45.95,92,100,4.61,overcast clouds
2,Mataura,NZ,-46.1927,168.8643,50.04,89,93,1.86,overcast clouds
3,Shimoda,JP,34.6667,138.95,49.1,91,100,17.87,moderate rain
4,Saint-Philippe,RE,-21.3585,55.7679,74.79,92,100,11.1,heavy intensity rain
5,Pisco,PE,-13.7,-76.2167,73.45,64,0,20.71,clear sky
6,Gejiu,CN,23.306,103.1635,39.63,75,1,2.84,clear sky
7,Saint George,US,37.1041,-113.5841,76.42,20,0,5.75,clear sky
8,Ushuaia,AR,-54.8,-68.3,38.86,87,40,20.71,scattered clouds
9,Kavieng,PG,-2.5744,150.7967,81.61,75,100,5.23,light rain
10,Hambantota,LK,6.1241,81.1185,78.33,83,25,1.16,scattered clouds
11,Tuatapere,NZ,-46.1333,167.6833,50.56,85,77,3.11,broken clouds
12,Rikitea,PF,-23.1203,-134.9692,76.75,67,56,10.22,broken clouds
13,New Norfolk,AU,-42.7826,147.0587,56.7,89,98,1.32,overcast clouds
14,Hilo,US,19.7297,-155.09,76.73,78,100,10.36,light rain
15,Mana,GF,5.6592,-53.7767,78.46,87,42,11.07,scattered clouds
16,Avarua,CK,-21.2078,-159.775,80.65,83,20,6.91,few clouds
17,Half Moon Bay,US,37.4636,-122.4286,78.89,63,0,20.71,haze
18,Hermanus,ZA,-34.4187,19.2345,60.8,89,2,7.45,clear sky
19,Puerto Ayora,EC,-0.7393,-90.3518,85.96,93,57,8.99,broken clouds
20,Bredasdorp,ZA,-34.5322,20.0403,61.03,90,47,1.63,scattered clouds
21,Hobart,AU,-42.8794,147.3294,57.06,92,75,6.91,broken clouds
22,Goderich,CA,43.7501,-81.7165,38.91,80,49,12.66,scattered clouds
23,Wad Madani,SD,14.4012,33.5199,95.02,15,99,11.14,overcast clouds
24,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,75,15,12.24,few clouds
25,Albany,US,42.6001,-73.9662,40.57,87,100,1.52,moderate rain
26,Vaini,TO,-21.2,-175.2,75.36,94,75,4.61,thunderstorm
27,Tiksi,RU,71.6872,128.8694,4.48,98,100,7.54,overcast clouds
28,Dalbandin,PK,28.8947,64.4101,73.74,10,2,5.48,clear sky
29,Ondjiva,AO,-17.0667,15.7333,66.6,90,98,6.2,light rain
30,Tiznit,MA,29.5833,-9.5,58.75,58,34,2.68,scattered clouds
31,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,78,20,9.22,few clouds
32,Bambous Virieux,MU,-20.3428,57.7575,79.21,83,75,11.5,broken clouds
33,Chuy,UY,-33.6971,-53.4616,68.99,75,95,8.7,light rain
34,Butaritari,KI,3.0707,172.7902,81.66,70,99,14.5,overcast clouds
35,Pacific Grove,US,36.6177,-121.9166,64.35,74,0,10.36,clear sky
36,Santa Maria,BR,-29.6842,-53.8069,63.7,100,100,8.05,moderate rain
37,Punta Arenas,CL,-53.15,-70.9167,46.51,61,40,31.07,scattered clouds
38,Lebu,CL,-37.6167,-73.65,56.01,67,0,19.13,clear sky
39,Awbari,LY,26.5921,12.7805,77.81,9,0,4.59,clear sky
40,Havelock,US,34.8791,-76.9013,75.18,29,0,12.66,clear sky
41,Dikson,RU,73.5069,80.5464,-3.14,99,39,9.17,scattered clouds
42,Mount Abu,IN,24.6,72.7,71.91,17,0,4.92,clear sky
43,Honiara,SB,-9.4333,159.95,80.1,86,98,6.26,overcast clouds
44,Pitimbu,BR,-7.4706,-34.8086,77.59,78,41,12.24,scattered clouds
45,Mehamn,NO,71.0357,27.8492,28.31,50,75,10.36,broken clouds
46,Grand Gaube,MU,-20.0064,57.6608,79.38,82,25,5.01,scattered clouds
47,Namibe,AO,-15.1961,12.1522,71.01,79,100,7.45,overcast clouds
48,Barrow,US,71.2906,-156.7887,-7.58,77,100,17.27,haze
49,Severo-Kurilsk,RU,50.6789,156.125,32.31,86,23,11.45,few clouds
50,Salinopolis,BR,-0.6136,-47.3561,80.26,83,65,9.44,moderate rain
51,Faya,SA,18.3851,42.4509,66.31,31,90,2.53,overcast clouds
52,Vostok,RU,46.4856,135.8833,27.79,81,0,6.89,clear sky
53,Cape Town,ZA,-33.9258,18.4232,65.91,83,0,10.36,clear sky
54,Chokurdakh,RU,70.6333,147.9167,-19.62,100,79,2.51,broken clouds
55,Trincomalee,LK,8.5711,81.2335,80.33,78,5,4.88,clear sky
56,Oktyabrskiy,RU,54.4815,53.471,38.62,99,100,6.82,overcast clouds
57,Georgetown,MY,5.4112,100.3354,76.95,99,20,2.3,few clouds
58,Pushkino,RU,56.0172,37.8667,28.69,93,100,5.68,overcast clouds
59,General Pico,AR,-35.6566,-63.7568,66.24,16,5,12.19,clear sky
60,Saint-Joseph,RE,-21.3667,55.6167,73.78,90,100,11.43,moderate rain
61,Bluff,NZ,-46.6,168.3333,55.96,75,99,10.89,overcast clouds
62,Svetlogorsk,BY,52.6333,29.7333,27.77,86,100,6.71,overcast clouds
63,Asau,RO,46.4333,26.4,32.92,93,100,1.25,light snow
64,Port Alfred,ZA,-33.5906,26.891,67.17,92,97,16.51,overcast clouds
65,Lakes Entrance,AU,-37.8811,147.981,57.16,91,100,19.64,overcast clouds
66,Tasiilaq,GL,65.6145,-37.6368,26.76,96,94,5.3,overcast clouds
67,Touros,BR,-5.1989,-35.4608,77.97,87,99,10.6,overcast clouds
68,Busselton,AU,-33.65,115.3333,61.74,81,38,15.95,scattered clouds
69,Leshukonskoye,RU,64.8989,45.7622,18.82,96,99,4.56,overcast clouds
70,Atuona,PF,-9.8,-139.0333,79.99,74,67,22.5,broken clouds
